areaType,areaName,areaCode,date,newDeathsByPublishDate,cumDeathsByPublishDate
overview,United Kingdom,K02000001,2020-07-23,53,45554
overview,United Kingdom,K02000001,2020-07-22,79,45501
overview,United Kingdom,K02000001,2020-07-21,110,45422
overview,United Kingdom,K02000001,2020-07-20,11,45312
overview,United Kingdom,K02000001,2020-07-19,28,45301
overview,United Kingdom,K02000001,2020-07-18,40,45273
overview,United Kingdom,K02000001,2020-07-17,114,45233
overview,United Kingdom,K02000001,2020-07-16,66,45119
overview,United Kingdom,K02000001,2020-07-15,85,45053
overview,United Kingdom,K02000001,2020-07-14,138,44968
overview,United Kingdom,K02000001,2020-07-13,11,44830
overview,United Kingdom,K02000001,2020-07-12,21,44819
overview,United Kingdom,K02000001,2020-07-11,148,44798
overview,United Kingdom,K02000001,2020-07-10,48,44650
overview,United Kingdom,K02000001,2020-07-09,85,44602
overview,United Kingdom,K02000001,2020-07-08,126,44517
overview,United Kingdom,K02000001,2020-07-07,155,44391
overview,United Kingdom,K02000001,2020-07-06,16,44236
overview,United Kingdom,K02000001,2020-07-05,22,44220
overview,United Kingdom,K02000001,2020-07-04,67,44198
overview,United Kingdom,K02000001,2020-07-03,137,44131
overview,United Kingdom,K02000001,2020-07-02,89,43995
overview,United Kingdom,K02000001,2020-07-01,176,43906
overview,United Kingdom,K02000001,2020-06-30,155,43730
overview,United Kingdom,K02000001,2020-06-29,25,43575
overview,United Kingdom,K02000001,2020-06-28,36,43550
overview,United Kingdom,K02000001,2020-06-27,100,43514
overview,United Kingdom,K02000001,2020-06-26,184,43414
overview,United Kingdom,K02000001,2020-06-25,149,43230
overview,United Kingdom,K02000001,2020-06-24,154,43081
overview,United Kingdom,K02000001,2020-06-23,171,42927
overview,United Kingdom,K02000001,2020-06-22,15,42756
overview,United Kingdom,K02000001,2020-06-21,43,42741
overview,United Kingdom,K02000001,2020-06-20,130,42698
overview,United Kingdom,K02000001,2020-06-19,173,42568
overview,United Kingdom,K02000001,2020-06-18,137,42395
overview,United Kingdom,K02000001,2020-06-17,184,42258
overview,United Kingdom,K02000001,2020-06-16,236,42074
overview,United Kingdom,K02000001,2020-06-15,38,41838
overview,United Kingdom,K02000001,2020-06-14,36,41800
overview,United Kingdom,K02000001,2020-06-13,183,41764
overview,United Kingdom,K02000001,2020-06-12,204,41581
overview,United Kingdom,K02000001,2020-06-11,152,41377
overview,United Kingdom,K02000001,2020-06-10,250,41225
overview,United Kingdom,K02000001,2020-06-09,289,40975
overview,United Kingdom,K02000001,2020-06-08,55,40686
overview,United Kingdom,K02000001,2020-06-07,77,40631
overview,United Kingdom,K02000001,2020-06-06,207,40554
overview,United Kingdom,K02000001,2020-06-05,358,40347
overview,United Kingdom,K02000001,2020-06-04,177,39989
overview,United Kingdom,K02000001,2020-06-03,365,39812
overview,United Kingdom,K02000001,2020-06-02,326,39447
overview,United Kingdom,K02000001,2020-06-01,111,39121
overview,United Kingdom,K02000001,2020-05-31,115,39010
overview,United Kingdom,K02000001,2020-05-30,230,38895
overview,United Kingdom,K02000001,2020-05-29,373,38665
overview,United Kingdom,K02000001,2020-05-28,416,38292
overview,United Kingdom,K02000001,2020-05-27,443,37876
overview,United Kingdom,K02000001,2020-05-26,136,37433
overview,United Kingdom,K02000001,2020-05-25,122,37297
overview,United Kingdom,K02000001,2020-05-24,441,37175
overview,United Kingdom,K02000001,2020-05-23,283,36734
overview,United Kingdom,K02000001,2020-05-22,358,36451
overview,United Kingdom,K02000001,2020-05-21,338,36093
overview,United Kingdom,K02000001,2020-05-20,369,35755
overview,United Kingdom,K02000001,2020-05-19,548,35386
overview,United Kingdom,K02000001,2020-05-18,160,34838
overview,United Kingdom,K02000001,2020-05-17,170,34678
overview,United Kingdom,K02000001,2020-05-16,480,34508
overview,United Kingdom,K02000001,2020-05-15,384,34028
overview,United Kingdom,K02000001,2020-05-14,428,33644
overview,United Kingdom,K02000001,2020-05-13,496,33216
overview,United Kingdom,K02000001,2020-05-12,630,32720
overview,United Kingdom,K02000001,2020-05-11,211,32090
overview,United Kingdom,K02000001,2020-05-10,269,31879
overview,United Kingdom,K02000001,2020-05-09,346,31611
overview,United Kingdom,K02000001,2020-05-08,627,31265
overview,United Kingdom,K02000001,2020-05-07,540,30638
overview,United Kingdom,K02000001,2020-05-06,652,30098
overview,United Kingdom,K02000001,2020-05-05,694,29446
overview,United Kingdom,K02000001,2020-05-04,288,28752
overview,United Kingdom,K02000001,2020-05-03,315,28464
overview,United Kingdom,K02000001,2020-05-02,621,28149
overview,United Kingdom,K02000001,2020-05-01,740,27528
overview,United Kingdom,K02000001,2020-04-30,674,26788
overview,United Kingdom,K02000001,2020-04-29,765,26114
overview,United Kingdom,K02000001,2020-04-28,911,25319
overview,United Kingdom,K02000001,2020-04-27,338,24408
overview,United Kingdom,K02000001,2020-04-26,420,24070
overview,United Kingdom,K02000001,2020-04-25,843,23650
overview,United Kingdom,K02000001,2020-04-24,1006,22807
overview,United Kingdom,K02000001,2020-04-23,727,21801
overview,United Kingdom,K02000001,2020-04-22,837,21074
overview,United Kingdom,K02000001,2020-04-21,1173,20237
overview,United Kingdom,K02000001,2020-04-20,559,19064
overview,United Kingdom,K02000001,2020-04-19,498,18505
overview,United Kingdom,K02000001,2020-04-18,1115,18007
overview,United Kingdom,K02000001,2020-04-17,936,16892
overview,United Kingdom,K02000001,2020-04-16,1029,15956
overview,United Kingdom,K02000001,2020-04-15,842,14927
overview,United Kingdom,K02000001,2020-04-14,1047,14085
overview,United Kingdom,K02000001,2020-04-13,744,13038
overview,United Kingdom,K02000001,2020-04-12,686,12294
overview,United Kingdom,K02000001,2020-04-11,840,11608
overview,United Kingdom,K02000001,2020-04-10,1152,10768
overview,United Kingdom,K02000001,2020-04-09,1110,9616
overview,United Kingdom,K02000001,2020-04-08,1034,8506
overview,United Kingdom,K02000001,2020-04-07,1038,7472
overview,United Kingdom,K02000001,2020-04-06,568,6434
overview,United Kingdom,K02000001,2020-04-05,644,5866
overview,United Kingdom,K02000001,2020-04-04,760,5222
overview,United Kingdom,K02000001,2020-04-03,714,4462
overview,United Kingdom,K02000001,2020-04-02,652,3748
overview,United Kingdom,K02000001,2020-04-01,670,3096
overview,United Kingdom,K02000001,2020-03-31,382,2426
overview,United Kingdom,K02000001,2020-03-30,374,2044
overview,United Kingdom,K02000001,2020-03-29,214,1670
overview,United Kingdom,K02000001,2020-03-28,294,1456
overview,United Kingdom,K02000001,2020-03-27,284,1162
overview,United Kingdom,K02000001,2020-03-26,183,878
overview,United Kingdom,K02000001,2020-03-25,187,695
overview,United Kingdom,K02000001,2020-03-24,149,508
overview,United Kingdom,K02000001,2020-03-23,74,359
overview,United Kingdom,K02000001,2020-03-22,35,285
overview,United Kingdom,K02000001,2020-03-21,56,250
overview,United Kingdom,K02000001,2020-03-20,36,194
overview,United Kingdom,K02000001,2020-03-19,43,158
overview,United Kingdom,K02000001,2020-03-18,34,115
overview,United Kingdom,K02000001,2020-03-17,16,81
overview,United Kingdom,K02000001,2020-03-16,22,65
overview,United Kingdom,K02000001,2020-03-15,15,43
overview,United Kingdom,K02000001,2020-03-14,18,28
overview,United Kingdom,K02000001,2020-03-13,1,10
overview,United Kingdom,K02000001,2020-03-12,2,9
overview,United Kingdom,K02000001,2020-03-11,0,7
overview,United Kingdom,K02000001,2020-03-10,4,7
overview,United Kingdom,K02000001,2020-03-09,1,3
overview,United Kingdom,K02000001,2020-03-08,0,2
overview,United Kingdom,K02000001,2020-03-07,1,2
overview,United Kingdom,K02000001,2020-03-06,1,1
