areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2021-01-28,820,105494
overview,United Kingdom,K02000001,2021-01-27,905,104674
overview,United Kingdom,K02000001,2021-01-26,920,103769
overview,United Kingdom,K02000001,2021-01-25,1069,102849
overview,United Kingdom,K02000001,2021-01-24,1036,101780
overview,United Kingdom,K02000001,2021-01-23,1035,100744
overview,United Kingdom,K02000001,2021-01-22,1142,99709
overview,United Kingdom,K02000001,2021-01-21,1189,98567
overview,United Kingdom,K02000001,2021-01-20,1216,97378
overview,United Kingdom,K02000001,2021-01-19,1324,96162
overview,United Kingdom,K02000001,2021-01-18,1275,94838
overview,United Kingdom,K02000001,2021-01-17,1230,93563
overview,United Kingdom,K02000001,2021-01-16,1270,92333
overview,United Kingdom,K02000001,2021-01-15,1202,91063
overview,United Kingdom,K02000001,2021-01-14,1192,89861
overview,United Kingdom,K02000001,2021-01-13,1197,88669
overview,United Kingdom,K02000001,2021-01-12,1192,87472
overview,United Kingdom,K02000001,2021-01-11,1124,86280
overview,United Kingdom,K02000001,2021-01-10,1080,85156
overview,United Kingdom,K02000001,2021-01-09,1010,84076
overview,United Kingdom,K02000001,2021-01-08,976,83066
overview,United Kingdom,K02000001,2021-01-07,984,82090
overview,United Kingdom,K02000001,2021-01-06,926,81106
overview,United Kingdom,K02000001,2021-01-05,901,80180
overview,United Kingdom,K02000001,2021-01-04,834,79279
overview,United Kingdom,K02000001,2021-01-03,753,78445
overview,United Kingdom,K02000001,2021-01-02,749,77692
overview,United Kingdom,K02000001,2021-01-01,739,76943
overview,United Kingdom,K02000001,2020-12-31,746,76204
overview,United Kingdom,K02000001,2020-12-30,719,75458
overview,United Kingdom,K02000001,2020-12-29,653,74739
overview,United Kingdom,K02000001,2020-12-28,675,74086
overview,United Kingdom,K02000001,2020-12-27,642,73411
overview,United Kingdom,K02000001,2020-12-26,649,72769
overview,United Kingdom,K02000001,2020-12-25,609,72120
overview,United Kingdom,K02000001,2020-12-24,582,71511
overview,United Kingdom,K02000001,2020-12-23,564,70929
overview,United Kingdom,K02000001,2020-12-22,563,70365
overview,United Kingdom,K02000001,2020-12-21,570,69802
overview,United Kingdom,K02000001,2020-12-20,503,69232
overview,United Kingdom,K02000001,2020-12-19,486,68729
overview,United Kingdom,K02000001,2020-12-18,514,68243
overview,United Kingdom,K02000001,2020-12-17,530,67729
overview,United Kingdom,K02000001,2020-12-16,434,67199
overview,United Kingdom,K02000001,2020-12-15,455,66765
overview,United Kingdom,K02000001,2020-12-14,479,66310
overview,United Kingdom,K02000001,2020-12-13,419,65831
overview,United Kingdom,K02000001,2020-12-12,438,65412
overview,United Kingdom,K02000001,2020-12-11,451,64974
overview,United Kingdom,K02000001,2020-12-10,443,64523
overview,United Kingdom,K02000001,2020-12-09,429,64080
overview,United Kingdom,K02000001,2020-12-08,433,63651
overview,United Kingdom,K02000001,2020-12-07,419,63218
overview,United Kingdom,K02000001,2020-12-06,416,62799
