Name,URI,Region GSS code,Period,Sales volume,Reporting period,Average price All property types,Pivotable date
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-01,108,monthly,194632,01/01/2010
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-01,263,monthly,277824,01/01/2010
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-02,137,monthly,196745,01/02/2010
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-02,263,monthly,279657,01/02/2010
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-03,173,monthly,199933,01/03/2010
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-03,299,monthly,285936,01/03/2010
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-04,117,monthly,202170,01/04/2010
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-04,291,monthly,288964,01/04/2010
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-05,140,monthly,203815,01/05/2010
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-05,343,monthly,284842,01/05/2010
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-06,179,monthly,204238,01/06/2010
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-06,395,monthly,283434,01/06/2010
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-07,155,monthly,207952,01/07/2010
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-07,389,monthly,280922,01/07/2010
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-08,141,monthly,207821,01/08/2010
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-08,277,monthly,284256,01/08/2010
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-09,147,monthly,210674,01/09/2010
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-09,300,monthly,282087,01/09/2010
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-10,129,monthly,208508,01/10/2010
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-10,271,monthly,284029,01/10/2010
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-11,140,monthly,209060,01/11/2010
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-11,391,monthly,280212,01/11/2010
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2010-12,115,monthly,208056,01/12/2010
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2010-12,286,monthly,280822,01/12/2010
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2011-01,108,monthly,208687,01/01/2011
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2011-01,260,monthly,283416,01/01/2011
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2011-02,103,monthly,205504,01/02/2011
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2011-02,209,monthly,286612,01/02/2011
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2011-03,147,monthly,201980,01/03/2011
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2011-03,270,monthly,291277,01/03/2011
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2011-04,114,monthly,200682,01/04/2011
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2011-04,214,monthly,292933,01/04/2011
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2011-05,125,monthly,204107,01/05/2011
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2011-05,279,monthly,290147,01/05/2011
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2011-06,124,monthly,206952,01/06/2011
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2011-06,345,monthly,282145,01/06/2011
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2011-07,145,monthly,207741,01/07/2011
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2011-07,390,monthly,277341,01/07/2011
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2011-08,138,monthly,208896,01/08/2011
Tower Hamlets,http://landregistry.data.gov.uk/id/region/tower-hamlets,E09000030,2011-08,307,monthly,282048,01/08/2011
Newham,http://landregistry.data.gov.uk/id/region/newham,E09000025,2011-09,142,monthly,212026,01/09/2011
